county,population,area,population_density,bachelor_or_higher,income_per_cap,percent_white,percent_poverty,percent_females,percent_over_65,winner
"Johnson County, Arkansas",26578,683,38.93,14.70,19366,91.70,20.10,50.40,16.50,Donald Trump
"Lafayette County, Arkansas",6624,545,12.15,10.70,17212,61.20,24.10,50.90,24.00,Donald Trump
"Lawrence County, Arkansas",16406,592,27.70,10.40,15971,96.40,25.40,50.60,19.70,Donald Trump
"Lee County, Arkansas",8857,619,14.30,7.10,12529,43.20,31.50,43.80,19.60,Joe Biden
"Lincoln County, Arkansas",13024,572,22.76,7.90,15023,67.30,27.00,38.20,15.30,Donald Trump
"Little River County, Arkansas",12259,565,21.70,10.60,19880,75.50,14.00,51.80,21.00,Donald Trump
"Logan County, Arkansas",21466,732,29.35,11.70,19046,93.00,17.60,50.10,19.90,Donald Trump
"Lonoke County, Arkansas",73309,802,91.36,18.20,23218,89.80,13.20,50.70,13.30,Donald Trump
"Madison County, Arkansas",16576,837,19.80,10.30,18754,94.30,22.60,50.10,19.10,Donald Trump
"Marion County, Arkansas",16694,640,26.07,12.90,18188,95.60,18.90,50.90,28.50,Donald Trump
"Miller County, Arkansas",43257,637,67.86,13.90,20636,71.40,19.50,50.90,16.90,Donald Trump
"Mississippi County, Arkansas",40651,920,44.20,13.00,18905,61.80,24.90,51.30,14.80,Donald Trump
"Monroe County, Arkansas",6701,621,10.78,11.30,16939,56.30,28.80,53.50,23.20,Donald Trump
"Montgomery County, Arkansas",8986,800,11.23,12.90,19021,93.80,22.00,50.50,27.00,Donald Trump
"Nevada County, Arkansas",8252,621,13.29,12.80,18695,66.40,26.50,50.40,20.60,Donald Trump
"Newton County, Arkansas",7753,823,9.42,12.70,17884,95.30,23.50,49.30,26.50,Donald Trump
"Ouachita County, Arkansas",23382,740,31.61,15.50,18975,56.70,23.10,52.60,20.40,Donald Trump
"Perry County, Arkansas",10455,560,18.65,11.90,22047,94.60,15.60,50.60,20.20,Donald Trump
"Phillips County, Arkansas",17782,727,24.45,12.00,16830,35.80,33.50,53.00,19.00,Joe Biden
"Pike County, Arkansas",10718,614,17.46,13.80,18377,92.70,24.80,50.00,20.40,Donald Trump
"Poinsett County, Arkansas",23528,763,30.82,8.60,16919,89.10,28.10,51.40,17.90,Donald Trump
"Polk County, Arkansas",19964,862,23.15,12.30,19116,93.70,23.10,51.30,23.00,Donald Trump
"Pope County, Arkansas",64072,831,77.12,20.70,19918,92.10,19.30,50.40,15.80,Donald Trump
"Prairie County, Arkansas",8062,676,11.93,9.30,18137,86.30,21.20,49.70,23.80,Donald Trump
"Pulaski County, Arkansas",391911,808,485.13,31.20,27414,57.50,17.20,52.20,15.60,Joe Biden
"Randolph County, Arkansas",17958,656,27.37,12.30,18871,95.00,21.80,50.60,19.90,Donald Trump
"Saline County, Arkansas",24994,642,38.91,23.40,25962,88.40,8.60,51.00,17.80,Donald Trump
"Scott County, Arkansas",122437,730,167.62,11.60,18934,91.00,20.00,49.30,20.90,Donald Trump
"Searcy County, Arkansas",10281,898,11.45,12.00,16731,95.10,26.10,49.90,25.00,Donald Trump
"Sebastian County, Arkansas",7881,669,11.79,19.20,23222,82.00,21.20,51.10,16.00,Donald Trump
"Sevier County, Arkansas",127827,546,234.10,8.60,16021,88.10,24.40,49.70,14.50,Donald Trump
"Sharp County, Arkansas",17007,581,29.25,11.00,16714,95.50,23.90,50.70,26.10,Donald Trump
"St. Francis County, Arkansas",17442,606,28.77,11.70,15511,44.00,28.40,44.90,16.20,Joe Biden
"Stone County, Arkansas",12506,609,20.52,14.20,17403,96.30,25.50,50.80,27.40,Donald Trump
"Union County, Arkansas",38682,1055,36.66,16.10,20718,64.10,21.50,51.30,17.90,Donald Trump
"Van Buren County, Arkansas",16545,724,22.84,13.60,18782,96.20,24.50,50.30,26.00,Donald Trump
"Washington County, Arkansas",239187,952,251.32,28.70,23264,86.60,20.70,50.10,11.70,Donald Trump
"White County, Arkansas",78753,1042,75.55,18.10,21793,91.80,17.50,51.30,16.40,Donald Trump
"Woodruff County, Arkansas",6320,594,10.64,10.10,19087,70.90,24.30,51.90,23.10,Donald Trump
"Yell County, Arkansas",21341,949,22.49,9.40,16992,94.10,22.70,49.80,17.80,Donald Trump
"Alameda County, California",1671329,738,2264.67,41.80,35763,49.70,12.50,50.80,13.80,Joe Biden
"Alpine County, California",1129,739,1.53,31.20,25527,69.90,16.60,46.60,25.40,Joe Biden
"Amador County, California",39752,606,65.60,19.30,27347,89.70,12.60,45.60,27.00,Donald Trump
"Butte County, California",219186,1640,133.65,24.40,23787,85.90,20.40,50.60,18.60,Joe Biden
"Calaveras County, California",45905,1020,45.00,21.20,29329,91.20,10.90,50.20,27.50,Donald Trump
"Colusa County, California",21547,1151,18.72,13.80,21579,91.20,12.50,48.90,14.60,Donald Trump
"Contra Costa County, California",1153526,720,1602.12,39.00,38219,65.50,10.50,51.10,15.80,Joe Biden
"Del Norte County, California",27812,1008,27.59,14.00,19072,78.40,21.80,45.40,18.00,Donald Trump
"El Dorado County, California",192843,1712,112.64,32.00,34884,88.90,9.00,50.10,21.20,Donald Trump
"Fresno County, California",999101,5963,167.55,19.60,20208,76.70,26.00,50.10,12.30,Joe Biden
"Glenn County, California",28393,1315,21.59,14.60,22148,89.10,18.80,49.20,15.90,Donald Trump
"Humboldt County, California",135558,3573,37.94,27.50,23540,83.40,20.40,50.20,17.90,Joe Biden
"Imperial County, California",181215,4175,43.40,13.30,16763,90.10,23.30,48.70,13.00,Joe Biden
"Inyo County, California",18039,10192,1.77,21.40,27441,80.00,12.80,49.70,23.40,Joe Biden
"Kern County, California",900202,8142,110.56,15.00,20295,82.30,22.90,48.70,11.00,Donald Trump
"Kings County, California",152940,1390,110.03,12.90,18429,81.00,21.00,45.00,10.30,Donald Trump
"Lake County, California",64386,1258,51.18,16.20,21537,87.20,25.00,50.10,22.70,Joe Biden
"Lassen County, California",30573,4558,6.71,13.10,19931,81.10,16.90,37.80,15.20,Donald Trump
"Los Angeles County, California",10039107,4060,2472.69,29.70,27749,70.80,17.80,50.70,13.60,Joe Biden
"Madera County, California",157327,2138,73.59,13.60,17847,86.00,22.80,51.80,14.00,Donald Trump
"Marin County, California",258826,520,497.74,54.60,56791,85.50,7.70,51.10,22.30,Joe Biden
"Mariposa County, California",17203,1451,11.86,21.30,26988,89.40,16.10,49.00,27.90,Donald Trump
"Mendocino County, California",86749,3509,24.72,22.00,23306,86.20,20.00,50.50,22.10,Joe Biden
"Merced County, California",277680,1929,143.95,12.60,18177,82.00,25.40,49.50,11.20,Joe Biden
"Modoc County, California",8841,3944,2.24,18.70,21200,88.30,21.00,50.00,26.90,Donald Trump
"Mono County, California",14444,3044,4.75,29.80,28046,90.40,8.50,46.90,15.80,Joe Biden
"Monterey County, California",434061,3322,130.66,23.00,24775,82.70,17.00,49.10,13.60,Joe Biden
"Napa County, California",137744,754,182.68,31.30,34795,83.80,10.10,50.20,19.10,Joe Biden
"Nevada County, California",99755,958,104.13,32.30,32346,93.40,12.00,50.90,27.50,Joe Biden
"Orange County, California",3175692,948,3349.89,36.80,34057,71.50,12.40,50.60,14.80,Joe Biden
"Placer County, California",398329,1407,283.11,35.10,34886,84.30,8.70,51.10,19.60,Donald Trump
"Plumas County, California",18807,2554,7.36,22.60,29806,90.80,15.20,50.20,28.40,Donald Trump
"Riverside County, California",2470546,7208,342.75,20.50,23591,79.70,16.20,50.20,14.40,Joe Biden
"Sacramento County, California",1552058,966,1606.69,28.00,26739,63.00,17.60,51.10,14.10,Joe Biden
"San Benito County, California",62808,1389,45.22,18.20,25914,87.90,11.90,49.90,12.90,Joe Biden
"San Bernardino County, California",2180085,20062,108.67,18.70,21332,76.70,18.70,50.20,11.60,Joe Biden
"San Diego County, California",3338330,4204,794.08,34.60,30668,75.50,14.40,49.70,14.00,Joe Biden
"San Francisco County, California",881549,47,18756.36,52.40,48486,52.90,13.50,49.00,15.70,Joe Biden
"San Joaquin County, California",762148,1399,544.78,18.10,22589,66.50,18.20,50.20,12.70,Joe Biden
"San Luis Obispo County, California",283111,3304,85.69,31.50,29954,88.80,14.30,49.30,20.10,Joe Biden
"San Mateo County, California",766573,449,1707.29,44.40,45732,60.00,7.60,50.60,16.10,Joe Biden
"Santa Barbara County, California",446499,2738,163.07,31.30,30352,85.40,16.00,50.00,15.30,Joe Biden
"Santa Clara County, California",1927852,1291,1493.30,46.50,41513,53.10,10.20,49.40,13.50,Joe Biden
"Santa Cruz County, California",273213,446,612.59,37.00,32295,87.10,14.60,50.50,16.50,Joe Biden
"Shasta County, California",180080,3786,47.56,18.80,23670,87.80,17.50,50.90,20.90,Donald Trump
"Sierra County, California",3005,953,3.15,18.50,24996,93.20,19.40,49.40,31.60,Donald Trump
"Siskiyou County, California",43539,6287,6.93,23.90,22293,86.10,21.00,50.30,25.50,Donald Trump
"Solano County, California",447643,828,540.63,24.30,28929,59.70,13.00,50.30,15.80,Joe Biden
"Sonoma County, California",494336,1576,313.66,32.20,32835,86.80,11.90,51.20,19.70,Joe Biden
"Stanislaus County, California",550660,1495,368.33,16.40,21663,83.50,20.30,50.50,13.20,Joe Biden
"Sutter County, California",96971,603,160.81,18.70,23602,72.80,16.70,50.20,15.40,Donald Trump
"Tehama County, California",65084,2951,22.05,13.50,20439,90.30,19.70,50.30,19.40,Donald Trump
"Trinity County, California",12285,3179,3.86,21.30,22905,87.00,19.20,48.60,27.30,Donald Trump
"Tulare County, California",466195,4824,96.64,13.30,17894,88.20,26.20,50.00,11.40,Donald Trump
"Tuolumne County, California",54478,2236,24.36,19.50,25943,90.30,14.50,48.10,26.20,Donald Trump
"Ventura County, California",846006,1846,458.29,31.40,32930,84.10,11.10,50.50,15.60,Joe Biden
"Yolo County, California",220500,1012,217.89,37.90,27730,74.20,19.10,51.60,12.50,Joe Biden
"Yuba County, California",78668,630,124.87,13.70,19244,78.30,21.60,49.40,12.80,Donald Trump
"Adams County, Colorado",517421,1182,437.64,20.90,24195,86.00,14.20,49.50,10.50,Joe Biden
"Alamosa County, Colorado",16233,723,22.45,24.20,19487,87.30,26.50,49.90,13.60,Donald Trump
"Arapahoe County, Colorado",656590,804,816.24,38.80,32595,76.70,12.10,50.40,13.10,Joe Biden
"Archuleta County, Colorado",14029,1355,10.36,32.90,29793,92.00,9.70,49.90,26.00,Donald Trump
"Baca County, Colorado",3581,2558,1.40,17.20,22318,93.80,15.20,49.80,24.70,Donald Trump
"Bent County, Colorado",5577,1541,3.62,8.80,15081,85.10,19.10,34.60,17.90,Donald Trump
"Boulder County, Colorado",326196,740,440.52,58.30,38011,90.20,14.20,49.70,14.30,Joe Biden
"Broomfield County, Colorado",70465,34,2099.05,47.50,37442,88.00,7.10,50.30,13.80,Joe Biden
"Chaffee County, Colorado",20356,1014,20.07,33.90,27182,93.90,8.00,47.20,25.40,Joe Biden
"Cheyenne County, Colorado",1831,1782,1.03,21.30,23647,95.40,7.20,49.10,20.50,Donald Trump
"Clear Creek County, Colorado",9700,397,24.46,39.80,41716,94.40,10.20,47.20,20.30,Joe Biden
"Conejos County, Colorado",8205,1290,6.36,19.10,17316,91.70,19.40,49.80,19.30,Donald Trump
"Costilla County, Colorado",3887,1229,3.16,19.50,20742,88.20,22.20,48.20,27.30,Joe Biden
"Crowley County, Colorado",6061,800,7.57,12.30,17187,82.40,29.10,26.80,13.70,Donald Trump
"Custer County, Colorado",5068,739,6.86,32.70,25761,94.50,14.60,48.40,32.20,Donald Trump
"Delta County, Colorado",31162,1149,27.11,18.30,24771,94.90,15.50,49.90,25.90,Donald Trump
"Denver County, Colorado",727211,156,4671.79,42.90,33251,80.80,19.10,49.80,11.80,Joe Biden
"Dolores County, Colorado",2055,1077,1.91,18.40,22880,93.50,14.90,47.40,25.10,Donald Trump
"Douglas County, Colorado",351154,842,416.90,55.80,43634,90.00,3.90,50.10,11.90,Donald Trump
"Eagle County, Colorado",55127,1701,32.41,47.00,39497,94.40,10.90,47.00,11.60,Joe Biden
"El Paso County, Colorado",26729,2129,12.56,35.20,28867,83.30,12.40,49.50,12.80,Donald Trump
"Elbert County, Colorado",720403,1849,389.60,29.60,36077,94.40,6.50,49.50,16.40,Donald Trump
"Fremont County, Colorado",47839,1533,31.20,15.60,18954,91.20,17.60,42.30,21.70,Donald Trump
"Garfield County, Colorado",60061,2958,20.30,26.60,26603,93.90,11.90,48.90,13.10,Joe Biden
"Gilpin County, Colorado",6243,150,41.58,29.10,38022,93.40,10.80,47.50,16.90,Joe Biden
"Grand County, Colorado",15734,1869,8.42,32.80,31684,95.10,11.10,46.40,17.60,Donald Trump
"Gunnison County, Colorado",17462,3259,5.36,54.50,27654,94.00,17.70,46.10,13.00,Joe Biden
"Hinsdale County, Colorado",820,1123,0.73,42.20,36365,94.20,5.10,48.50,30.30,Donald Trump
"Huerfano County, Colorado",6897,1592,4.33,28.00,24058,89.00,20.60,49.00,31.20,Donald Trump
"Jackson County, Colorado",1392,1620,0.86,22.20,25936,95.00,8.90,48.20,22.20,Donald Trump
"Jefferson County, Colorado",582881,773,754.20,40.70,36087,91.70,8.60,50.10,16.50,Joe Biden
"Kiowa County, Colorado",1406,1786,0.79,20.60,22482,96.50,17.40,51.30,23.40,Donald Trump
"Kit Carson County, Colorado",7097,2162,3.28,13.50,21850,95.30,13.80,50.00,19.30,Donald Trump
"La Plata County, Colorado",8127,1700,4.78,41.40,30151,88.40,11.40,49.50,17.20,Joe Biden
"Lake County, Colorado",56221,384,146.58,28.10,25029,93.00,14.30,46.20,14.30,Joe Biden
"Larimer County, Colorado",356899,2632,135.61,43.80,30740,92.70,14.10,50.10,15.70,Joe Biden
"Las Animas County, Colorado",14506,4773,3.04,16.30,22180,90.30,17.80,47.80,24.30,Donald Trump
"Lincoln County, Colorado",5701,2585,2.21,15.60,19703,89.70,13.70,41.60,17.60,Donald Trump
"Logan County, Colorado",22409,1845,12.14,15.80,22581,91.70,17.60,44.10,17.80,Donald Trump
"Mesa County, Colorado",154210,3346,46.09,25.70,26700,94.00,14.70,50.60,19.10,Donald Trump
"Mineral County, Colorado",769,878,0.88,39.30,42255,96.30,6.40,50.40,31.20,Donald Trump
"Moffat County, Colorado",13283,4756,2.79,15.60,24577,94.50,11.50,48.70,15.30,Donald Trump
"Montezuma County, Colorado",26183,2036,12.86,27.30,23548,82.10,19.30,50.70,22.10,Donald Trump
"Montrose County, Colorado",42758,2246,19.03,24.50,22897,94.30,16.00,50.70,23.30,Donald Trump
"Morgan County, Colorado",29068,1294,22.47,15.10,20680,91.60,13.30,49.50,15.50,Donald Trump
"Otero County, Colorado",18278,1268,14.42,15.50,19078,90.10,25.20,51.00,20.40,Donald Trump
"Ouray County, Colorado",4952,542,9.13,47.50,33015,96.10,5.60,49.40,27.20,Joe Biden
"Park County, Colorado",18845,2209,8.53,32.00,31504,94.20,9.10,47.40,20.40,Donald Trump
"Phillips County, Colorado",4265,688,6.20,16.80,20720,96.30,19.90,50.70,22.50,Donald Trump
"Pitkin County, Colorado",17767,970,18.31,56.80,51814,94.90,10.10,48.30,19.40,Joe Biden
"Prowers County, Colorado",12172,1645,7.40,14.10,18941,94.70,23.30,49.70,17.60,Donald Trump
"Pueblo County, Colorado",168424,2397,70.27,21.50,21940,90.20,19.10,50.70,18.50,Joe Biden
"Rio Blanco County, Colorado",6324,3226,1.96,23.10,27586,93.60,14.90,48.90,15.50,Donald Trump
"Rio Grande County, Colorado",11267,913,12.34,20.30,20557,92.50,19.20,50.00,20.20,Donald Trump
"Routt County, Colorado",25638,2362,10.85,48.00,34873,95.80,9.10,47.90,15.40,Joe Biden
"Saguache County, Colorado",6824,3168,2.15,23.80,20726,91.40,24.70,49.90,23.00,Joe Biden
